Time Lag,Batch Size,Learning Rate,Units,Dropout Rate,RMSE,Training Time
5,32,0.01,80,0.2,33.53578832878826,8.945043325424194
5,32,0.01,80,0.3,29.002937159718023,12.705423831939697
5,32,0.01,128,0.2,29.134582608226633,13.07609510421753
5,32,0.01,128,0.3,32.448311608767746,17.498879194259644
5,32,0.1,50,0.2,28.655578135269547,14.680715560913086
5,32,0.1,50,0.3,38.109465949324935,14.762172937393188
5,32,0.1,80,0.2,34.44814913226971,18.635395526885986
5,32,0.1,80,0.3,29.452597627523637,8.231490850448608
5,32,0.1,128,0.2,36.353854912001246,7.747366428375244
5,32,0.1,128,0.3,28.168839209252663,12.083173513412476
5,64,0.001,50,0.2,30.672637397678812,7.3357932567596436
5,64,0.001,50,0.3,32.426461494712285,8.97692346572876
5,64,0.001,80,0.2,59.91764084254302,6.784242630004883
5,64,0.001,80,0.3,30.51531972438749,7.256971120834351
5,64,0.001,128,0.2,43.3648047342291,17.284231424331665
5,64,0.001,128,0.3,36.88043217368063,8.72492003440857
5,64,0.01,50,0.2,28.495179302738638,9.006206512451172
5,64,0.01,50,0.3,29.02540640258892,17.36419153213501
5,64,0.01,80,0.2,47.47281066913214,8.859346628189087
5,64,0.01,80,0.3,33.47694427483994,6.035649299621582
5,64,0.01,128,0.2,61.975832695100706,9.882134437561035
5,64,0.01,128,0.3,30.36061775441522,7.98422384262085
5,64,0.1,50,0.2,34.82842003836063,11.112215518951416
5,64,0.1,50,0.3,31.449504305473695,7.042771100997925
5,64,0.1,80,0.2,30.78939553784345,17.47870969772339
5,64,0.1,80,0.3,42.61245477943896,5.6779444217681885
5,64,0.1,128,0.2,33.38987281863108,11.672019481658936
5,64,0.1,128,0.3,38.957154598633736,11.029890060424805
5,128,0.001,50,0.2,60.27179117115363,7.164748668670654
5,128,0.001,50,0.3,65.07431433499353,6.206946849822998
5,128,0.001,80,0.2,30.72929299854563,8.916918516159058
5,128,0.001,80,0.3,32.524992034368935,4.046501636505127
5,128,0.001,128,0.2,65.4781711990543,9.775089740753174
5,128,0.001,128,0.3,35.490480917264826,7.2948317527771
5,128,0.01,50,0.2,29.966881737584746,5.001150369644165
5,128,0.01,50,0.3,39.602167418723255,5.9020349979400635
5,128,0.01,80,0.2,57.85859069660104,8.552426815032959
5,128,0.01,80,0.3,36.49105684401601,6.3721764087677
5,128,0.01,128,0.2,41.741942652968035,9.195909976959229
5,128,0.01,128,0.3,43.27000720136862,7.742861270904541
5,128,0.1,50,0.2,28.67755733332801,5.142422437667847
5,128,0.1,50,0.3,43.4297435417186,7.884094476699829
5,128,0.1,80,0.2,31.209141897663663,7.135539293289185
5,128,0.1,80,0.3,34.21732922922863,6.303265571594238
5,128,0.1,128,0.2,48.22828812434135,13.358577251434326
5,128,0.1,128,0.3,77.18202030011349,9.127225160598755
10,32,0.001,50,0.2,34.76410745519311,16.829078912734985
10,32,0.001,50,0.3,73.04518226307876,6.6209657192230225
10,32,0.001,80,0.2,33.147647019808275,12.898130655288696
